Pinyin,Wade-Giles,Romatzyh
шангче,шангче,шанqче
шангци,шангтзу,шанqцых
шангке,шангко,шанqкех
шангwанг,шангwанг,шанqwоанг
шангwу,шангwу,шанqwуу
шангxуе,шангхсуех,шанqшыуе
шао,шао,шао
шеи,шеи,шеир
шенти,шенти,шентии
шенме,шенме,шернме
шенгбинг,шенгпинг,шенгбинq
шенгqи,шенгчи,шенгчих
шенгри,шенгйих,шенгрых
ши,ших,шыр
шихоу,шиххоу,шырхоу
шийиан,шихчиен,шырйиан
ши,ших,шых
ши,ших,шых
ши,ших,шых
шоу,шоу,шооу
шоуйи,шоучи,шооуйи
шу,шу,шу
шубао,шупао,шубау
шудиан,шутиен,шудианн
шу,шу,шух
шуи,шуи,шоеи
шуигуо,шуикуо,шоеигуоо
шуи,шуи,шуеы
шуийиао,шуичиао,шуеыйиаw
шуохуа,шуохуа,шуохуах
си,ссу,сых
сонг,сунг,сонq
суи,суи,суеы
та,та,та
тамен,тамен,тамен
та,та,та
тамен,тамен,тамен
таи,таи,таы
тиан,тиен,тиан
тианqи,тиенчи,тианчих
тинг,тинг,тинг
тингдао,тингтао,тингдаw
тингйиан,тингчиен,тингйианн
тингxие,тингхсиех,тингшиее
тонгxуе,тунгхсуех,торнгшыуе
тушугуан,тушукуан,тwушугоан
wаи,wаи,wаы
wаигуо,wаикуо,wаыгwо
wаиыу,wаиыу,wаыыеу
wанр,wанр,wанр
wан,wан,wоан
wанфан,wанфан,wоанфанн
wаншанг,wаншанг,wоаншанг
wангшанг,wангшанг,wоангшанq
wангыоу,wангыу,wоангыеоу
wанг,wанг,wанq
wангйи,wангчи,wанqйих
wен,wен,wенн
wо,wо,wоо
wомен,wомен,wоомен
wу,wу,wуу
wуфан,wуфан,wууфанн
xи,хси,ши
xибиан,хсипиен,шибиан
xи,хси,шии
xишоуйиан,хсишоучиен,шиишооуйиан
xихуан,хсихуан,шиихуан
xиа,хсиа,шиах
xиабан,хсиапан,шиахбан
xиаче,хсиаче,шиахче
xиаци,хсиатзу,шиахцых
xиаке,хсиако,шиахкех
xиаwу,хсиаwу,шиахwуу
xиаыу,хсиаыу,шиахыеу
xиан,хсиен,шиан
xианшенг,хсиеншенг,шианшенг
xианзаи,хсиенцаи,шианнтзаы
xианг,хсианг,шеанг
xиао,хсиао,шеау
xиаохаир,хсиаохаир,шеаухаирр
xиаопенгыоу,хсиаопенгыу,шеаупернгыеоу
xиаоши,хсиаоших,шеаушыр
xиаоxуе,хсиаохсуех,шеаушыуе
xиаоxуешенг,хсиаохсуехшенг,шеаушыуешенг
xиао,хсиао,шиаw
xие,хсиех,шиее
xиеxие,хсиехxие,шиехxие
xин,хсин,шин
xинниан,хсинниен,шинниан
xингqи,хсингчи,шингчи
xингqири,хсингчийих,шингчирых
xингqитиан,хсингчитиен,шингчитиан
xинг,хсинг,шынг
xиуxи,хсиуxи,шиоуxи
xуе,хсуех,шыуе
xуешенг,хсуехшенг,шыуешенг
xуеxи,хсуеххси,шыуешыи
xуеxиао,хсуеххсиао,шыуешиаw
xуеыуан,хсуехыуан,шыуеыуанн
ыао,ыао,ыаw
ыеые,ыехые,ыеые
ые,ыех,ыее
ые,ыех,ыех
ыи,и,и
ыифу,ифу,ифу
ыишенг,ишенг,ишенг
ыиыуан,иыуан,иыуанн
ыидианр,итиенр,идеанр
ыонг,ыунг,ыонq
ыоу,ыу,ыеоу
ыоуде,ыуде,ыеоуде
ыоуминг,ыуминг,ыеоуминг
ыоуxие,ыухсиех,ыеоушие
ыоуыонг,ыуыунг,ыеоуыонq
ыоу,ыу,ыоw
ыоубиан,ыубиан,ыоwбиан
ыу,ыу,ыеу
ыуан,ыуан,ыуан
ыуан,ыуан,ыеуан
ыуе,ыуех,ыуех
заи,цаи,тзаы
заийиан,цаичиен,тзаыйианн
заи,цаи,тзаы
заийиа,цаичиа,тзаыйиа
зао,цао,тзао
заофан,цаофан,тзаофанн
заошанг,цаошанг,тзаошанг
зенме,ценме,тзеенме
жан,чан,янн
жао,чао,яо
жаодао,чаотао,яодаw
же,че,йех
жебиан,чепиен,йехбиан
жели,чели,йехлии
жер,чер,йехр
жеxие,чехсиех,йехшие
жен,чен,йен
женде,ченде,йенде
женг,ченг,йенq
женгзаи,ченгцаи,йенqтзаы
жидао,чихтао,йыдаw
жиши,чихши,йыши
жонг,чунг,йонг
жонггуо,чунгкуо,йонггwо
жонгйиан,чунгчиен,йонгйиан
жонгwен,чунгwен,йонгwен
жонгwу,чунгwу,йонгwуу
жонгxуе,чунгхсуех,йонгшыуе
жонгxуешенг,чунгхсуехшенг,йонгшыуешенг
жонгыао,чунгыао,йонqыаw
жу,чу,юх
жунбеи,чунпеи,йоенбеы
жуози,чози,юози
зи,тзу,тзых
зоу,цоу,тзооу
зоулу,цоулу,тзооулух
зуи,цуи,тзуеы
зуихао,цуихао,тзуеыхао
зуихоу,цуихоу,тзуеыхоw
зуотиан,цотиен,тзwотиан
зуо,цо,тзуоо
зуобиан,цобиан,тзуообиан
зуо,цо,тзуох
аиqинг,аичинг,аычынг
анйинг,анчинг,анйинq
анqуан,анчуан,анчыуан
баисе,паисе,баирсех
банжанг,панчанг,баняанг
бан,пан,банн
банфа,панфа,баннфаа
бангонгши,панкунгших,баннгонгшых
баные,паныех,банныех
бангжу,пангчу,бангюх
бао,пао,бао
баоминг,паоминг,баwминг
баожи,паочих,баwйыы
беифанг,пеифанг,бееифанг
беи,пеи,беи
биру,пию,бииру
бирушуо,пиюшуо,биирушуо
би,пи,бии
бийи,пичи,биийих
бийибен,пичипен,биийихбеен
биxу,пихсу,бихшиу
биан,пиен,биан
биан,пиен,бианн
бианченг,пиенченг,бианнчернг
биан,пиен,бианн
биао,пиао,беау
биаоши,пиаоших,беаушых
буйиу,пучиу,бухйеоу
буман,пуман,бухмаан
буру,пую,бухру
бушао,пушао,бухшао
бутонг,путунг,бухторнг
буxинг,пухсинг,бухшынг
буыидинг,пуитинг,бухидинq
буфен,пуфен,бухфен
цаи,цаи,цаир
цаидан,цаитан,цаыдан
цангуан,цанкуан,цангуан
цанйиа,цанчиа,цанйиа
цао,цао,цао
цаоди,цаоти,цаодих
ценг,ценг,цернг
ча,ча,чар
чабудуо,чабуто,чахбудуо
чанг,чанг,чарнг
чангйиан,чангчиен,чарнгйианн
чангыонг,чангыунг,чарнгыонq
чаогуо,чаокуо,чаугуох
чаоши,чаоших,чаушых
челианг,челианг,челианq
ченг,ченг,ченг
ченг,ченг,чернг
ченгйи,ченгчи,чернгйих
ченгwеи,ченгwеи,чернгwеи
чонгфу,чунгфу,чорнгфух
чонгxин,чунгхсин,чорнгшин
чуфа,чуфа,чуфа
чугуо,чукуо,чугwо
чукоу,чукоу,чукооу
чумен,чумен,чумен
чушенг,чушенг,чушенг
чуxиан,чухсиен,чушианн
чуыуан,чуыуан,чуыуанн
чузу,чуцу,чутзу
чузуче,чуцуче,чутзуче
чуан,чуан,чwан
чуи,чуи,чуеи
чунйие,чунчиех,чуенйые
чунтиан,чунтиен,чуентиан
ци,тзу,цыр
цидиан,тзутиен,цырдеан
циыу,тзуыу,цырыеу
цонгxиао,цунгхсиао,цорнгшеау
даыинг,таыинг,даыинг
дагонг,такунг,даагонг
дасуан,тасуан,даасуанн
даыин,таыин,дааыинн
дада,тата,дахдах
дадуошу,татошу,дахдуошух
дахаи,тахаи,даххае
дайиа,тачиа,дахйиа
далианг,талианг,дахлианq
дамен,тамен,дахмен
дашенг,ташенг,дахшенг
даxиао,тахсиао,дахшеау
даыи,таи,дахи
дазиран,татзуян,дахтзыхран
даи,таи,даы
даилаи,таилаи,даылаи
данwеи,танwеи,данwеы
дан,тан,данн
данши,танших,данншых
дан,тан,данн
данг,танг,данг
дангши,тангших,дангшыр
дао,тао,дао
даочу,таочу,даwчух
дао,тао,даw
дао,тао,даw
даолу,таолу,даwлух
де,те,дер
дечу,течу,дерчу
дехуа,дехуа,дехуах
де,де,де
денг,тенг,денг
денг,тенг,деенг
денгдао,тенгтао,деенгдаw
денгыу,тенгыу,деенгыу
ди,ти,ди
диqиу,тичиу,дихчыоу
дитие,титиех,дихтиее
дитиежан,титиехчан,дихтиееянн
диантоу,тиентоу,деантоур
диан,тиен,дианн
диао,тиао,диаw
донгбеи,тунгпеи,донгбееи
донгфанг,тунгфанг,донгфанг
донгнан,тунгнан,донгнан
донгтиан,тунгтиен,донгтиан
донг,тунг,доонг
донгде,тунгде,доонгде
донгwу,тунгwу,донqwух
донгwуыуан,тунгwуыуан,донqwухыуан
дуыин,туыин,дwуин
ду,ту,дух
дуан,туан,доан
дуанxин,туанхсин,доаншинн
дуан,туан,дуанн
дуи,туи,дуеы
дуижанг,туичанг,дуеыяанг
дуи,туи,дуеы
дуихуа,туихуа,дуеыхуах
дуимиан,туимиен,дуеымианн
дуо,то,дуо
дуойиу,точиу,дуойеоу
дуоме,томе,дуоме
дуошу,тошу,дуошух
дуоыун,тоыун,дуоыун
ерqие,ерхчиех,ерлчиее
фа,фа,фа
фаxиан,фахсиен,фашианн
фангуан,фанкуан,фаннгоан
фангбиан,фангпиен,фангбианн
фангбианмиан,фангпиенмиен,фангбианнмианн
фангфа,фангфа,фангфаа
фангмиан,фангмиен,фангмианн
фангxианг,фангхсианг,фангшианq
фангxиа,фангхсиа,фанqшиах
фангxин,фангхсин,фанqшин
фен,фен,фен
фенкаи,фенкаи,фенкаи
феншу,феншу,феншух
фенжонг,фенчунг,фенйонг
фен,фен,фенн
фенг,фенг,фенг
фуwу,фуwу,фwуwух
фуxи,фухси,фухшыи
гаи,каи,гаи
гаи,каи,гае
гаибиан,каипиен,гаебианн
ганбеи,канпеи,ганбеи
гандао,кантао,гаандаw
гандонг,кантунг,гаандонq
ганюе,канчуех,гаанйыуе
ганxие,канхсиех,гааншиех
ганхуор,канхуор,ганнхwор
ганг,канг,ганг
гангцаи,кангцаи,гангцаир
гаойи,каочи,гауйыи
гаожонг,каочунг,гауйонг
гези,кози,гехзи
гонггонгqиче,кунгкунгчиче,гонггонqчихче
гонгйиаоче,кунгчиаоче,гонгйиауче
гонгйин,кунгчин,гонгйин
гонгли,кунгли,гонглии
гонглу,кунглу,гонглух
гонгпинг,кунгпинг,гонгпынг
гонгси,кунгссу,гонгсы
гонгыуан,кунгыуан,гонгыуан
гоу,коу,гооу
гоу,коу,гоw
гуыи,куи,гухыих
гуке,куко,гухкех
гуанйи,куанчи,гуанйи
гуанxин,куанхсин,гуаншин
гуандиан,куантиен,гуандеан
гуангчанг,куангчанг,гоангчаанг
гуанггао,куангкао,гоанггаw
гуойи,куочи,гwойих
гуолаи,куолаи,гуохлаи
гуониан,куониен,гуохниан
гуоqу,куочу,гуохчиух
хаи,хаи,хае
хаибиан,хаипиен,хаебиан
хан,хан,хаан
хао,хао,хао
хаодуо,хаото,хаодуо
хаойиу,хаочиу,хаойеоу
хаорен,хаойен,хаорен
хаоши,хаоших,хаошых
хаоxианг,хаохсианг,хаошианq
хеши,хоших,хершых
хе,хо,хер
хеи,хеи,хеи
хеибан,хеипан,хеибаан
хеисе,хеисе,хеисех
хонг,хунг,хорнг
хонгсе,хунгсе,хорнгсех
хоулаи,хоулаи,хоwлаи
хуран,хуян,хуран
ху,ху,хwу
хужао,хучао,хухяw
хуа,хуа,хуа
хуаыуан,хуаыуан,хуаыуан
хуа,хуа,хуах
хуайиа,хуачиа,хуахйиа
хуар,хуар,хуахр
хуаирен,хуаийен,хуаырен
хуаныинг,хуаныинг,хуанынг
хуан,хуан,хуанн
хуанг,хуанг,хwанг
хуангсе,хуангсе,хwангсех
хуи,хуи,хwеи
хуигуо,хуикуо,хwеигwо
хуи,хуи,хуеы
хуодонг,хуотунг,хwодонq
хуо,хуо,хуох
хуоже,хуоче,хуохйее
йихуи,чихуи,йихуеы
йи,чи,йи
йи,чи,йыи
йи,чи,йыи
йихуа,чихуа,йиххуах
йисуанйи,чисуанчи,йихсуаннйи
йиа,чиа,йиа
йиаыоу,чиаыу,йиаыоу
йиа,чиа,йиа
йиатинг,чиатинг,йиатынг
йиажанг,чиачанг,йиаяанг
йиа,чиа,йеа
йиаqи,чиачи,йиахчи
йианча,чиенча,йеанчар
йиандао,чиентао,йианндаw
йиангуо,йиангуо,йиангуо
йиан,чиен,йианн
йианканг,чиенканг,йианнканг
йианг,чианг,йеанг
йиангхуа,чиангхуа,йеангхуах
йиао,чиао,йиау
йиаогеи,чиаокеи,йиаугееи
йиаотонг,чиаотунг,йиаутонг
йиао,чиао,йеау
йиаоду,чиаоту,йеаудух
йиаози,чиаози,йеаузи
йиао,чиао,йеау
йиаозуо,чиаоцо,йиаwтзуох
йиаоши,чиаоших,йиаwшы
йиаоши,чиаоших,йиаwшых
йиаоыу,чиаоыу,йиаwыух
йие,чиех,йие
йиедао,чиехтао,йиедаw
йиешоу,чиехшоу,йиешоw
йиеxиалаи,чиеххсиалаи,йиешиахлаи
йиеже,чиехже,йиеже
йие,чиех,йие
йие,чиех,йые
йиему,чиехму,йыемух
йиери,чиехйих,йыерых
йие,чиех,йиех
йин,чин,йин
йинхоу,чинхоу,йинхоw
йинру,чиню,йиннрух
йинxинг,чинхсинг,йинншынг
йин,чин,йинн
йингчанг,чингчанг,йингчарнг
йинггуо,чингкуо,йинггуох
йингли,чингли,йинглии
йиу,чиу,йеоу
йиудиан,чиутиен,йеоудианн
йиуыао,чиуыао,йиоwыаw
ю,чу,йеу
юшоу,чушоу,йеушооу
юxинг,чухсинг,йеушынг
ю,чу,йиух
юзи,чузи,йиухзи
ка,ка,каа
каийи,каичи,каийи
каиxин,каихсин,каишин
каиxуе,каихсуех,каишыуе
канфа,канфа,каннфаа
каошенг,каошенг,каошенг
као,као,каw
ке,ко,ке
кеxуе,кохсуех,кешыуе
ке’аи,коаи,кееаы
кененг,коненг,кеененг
кепа,копа,кеепах
кеши,коших,кеешых
кеыи,кои,кееыии
ке,ко,кех
ке,ко,кех
керен,койен,кехрен
кетанг,котанг,кехтарнг
конгqи,кунгчи,конгчих
ку,ку,ку
куаицан,куаицан,куаыцан
куаидианр,куаитиенр,куаыдеанр
куаиле,куаиле,куаылех
куаиыао,куаиыао,куаыыаw
куаизи,куаизи,куаызи
ла,ла,лха
лаизи,лаитзу,лаитзых
лан,лан,лан
лансе,лансе,лансех
ланqиу,ланчиу,ланчыоу
лао,лао,лао
лао,лао,лао
лаониан,лаониен,лаониан
ли,ли,ли
ликаи,ликаи,ликаи
лиwу,лиwу,лииwух
литоу,литоу,лиитоу
лиxианг,лихсианг,лиишеанг
лиру,лию,лихру
лизи,лизи,лихзи
лиан,лиен,леан
лиан,лиен,лианн
лианxи,лиенхси,лианншыи
лианг,лианг,лианг
лиангкуаи,лиангкуаи,лиангкуаи
лианг,лианг,леанг
лианг,лианг,лианq
лианг,лианг,лианq
лингxиа,лингхсиа,лингшиах
лиу,лиу,лиоу
лиуxиа,лиухсиа,лиоушиах
лиуxуешенг,лиухсуехшенг,лиоушыуешенг
лиу,лиу,лиоу
лиули,лиули,лиоулих
лиуxинг,лиухсинг,лиоушынг
лубиан,лупиен,лухбиан
маи,маи,маы
ман,ман,маан
маныи,мани,мааныих
мао,мао,мхау
ми,ми,мии
мианqиан,миенчиен,мианнчыан
минг,минг,минг
мингченг,мингченг,мингченг
мингдан,мингтан,мингдан
мингxинг,мингхсинг,мингшинг
муди,мути,мухдих
начу,начу,начу
надао,натао,надаw
нахуир,нахуир,наххуеыр
наме,наме,нахме
нашихоу,нашиххоу,нахшырхоу
наыанг,наыанг,нахыанq
нанфанг,нанфанг,нанфанг
нангуо,нанкуо,нангуох
нанкан,нанкан,нанканн
наншоу,наншоу,наншоw
нанти,нанти,нантыи
нантинг,нантинг,нантинг
ненггоу,ненгкоу,ненггоw
нианйи,ниенчи,нианйыи
нианqинг,ниенчинг,нианчинг
нули,нули,нуулих
па,па,пар
пашан,пашан,паршан
па,па,пах
паи,паи,паир
паидуи,паитуи,паирдуеы
паиqиу,паичиу,паирчыоу
пенг,пенг,пенq
пенгдао,пенгтао,пенqдаw
пенгйиан,пенгчиен,пенqйианн
пиан,пиен,пиан
пиан,пиен,пианн
пиаолианг,пиаолианг,пиаwлианг
пинг,пинг,пынг
пинг’ан,пинган,пынган
пингчанг,пингчанг,пынгчарнг
пингденг,пингтенг,пынгдеенг
пингши,пингших,пынгшыр
пинг,пинг,пынг
пингзи,пингзи,пынгзи
путонг,путунг,пуутонг
путонгхуа,путунгхуа,пуутонгхуах
qита,чита,чыита
qижонг,чичунг,чыийонг
qи,чи,чыи
qиче,чиче,чыиче
qифеи,чифеи,чиифеи
qи,чи,чих
qиwен,чиwен,чихуен
qиан,чиен,чиан
qианке,чиенко,чианкех
qианниан,чиенниен,чыанниан
qианг,чианг,чыанг
qингниан,чингниен,чингниан
qингшаониан,чингшаониен,чингшаwниан
qинг,чинг,чинг
qингчу,чингчу,чингчу
qинг,чинг,чынг
qингтиан,чингтиен,чынгтиан
qингке,чингко,чиингкех
qингqиу,чингчиу,чиингчыоу
qиутиан,чиутиен,чиоутиан
qиу,чиу,чыоу
qиучанг,чиучанг,чыоучаанг
qиудуи,чиутуи,чыоудуеы
qиуxие,чиухсиех,чыоушые
qу,чу,чеу
qуде,чуте,чеудер
qуан,чуан,чыуан
qуанбу,чуанпу,чыуанбух
qуангуо,чуанкуо,чыуангwо
qуанйиа,чуанчиа,чыуанйиа
qуанниан,чуанниен,чыуанниан
qуаншен,чуаншен,чыуаншен
qуанти,чуанти,чыуантии
ранхоу,янхоу,ранхоw
ранг,янг,ранq
реqинг,йечинг,рехчынг
ренкоу,йенкоу,ренкооу
ренмен,йенмен,ренмен
реншу,йеншу,реншух
ренwеи,йенwеи,реннwеи
рибао,йихпао,рыхбаw
ризи,йихзи,рыхзи
ругуо,юкуо,ругуоо
рукоу,юкоу,рухкооу
шанглианг,шанглианг,шанглианг
шангрен,шангйен,шангрен
шангжоу,шангчоу,шанqйоу
шаошу,шаошу,шаошух
шаониан,шаониен,шаwниан
шенбиан,шенпиен,шенбиан
шенмеыанг,шенмеыанг,шернмеыанq
шенг,шенг,шенг
шенгци,шенгтзу,шенгцыр
шенгхуо,шенгхуо,шенгхwо
шенгыин,шенгыин,шенгин
шенг,шенг,шеенг
шенг,шенг,шеенг
шифен,шихфен,шырфен
шийи,шихчи,шырйих
шиxи,шиххси,шыршыи
шиxиан,шиххсиен,шыршианн
шизаи,шихцаи,шыртзаы
шиwу,шихwу,шырwух
шиыонг,шихыунг,шыыыонq
ши,ших,шых
шижанг,шихчанг,шыхяанг
шиqинг,шихqинг,шыхqинг
шоу,шоу,шоу
шоудао,шоутао,шоудаw
шоуру,шоую,шоурух
шоубиао,шоупиао,шооубеау
шоудао,шоутао,шоwдаw
шуфу,шуфу,шуфу
шу,шу,шwу
шу,шу,шуу
шузи,шутзу,шухтзых
шуипинг,шуипинг,шоеипынг
шунли,шунли,шуеннлих
шуоминг,шуоминг,шуоминг
сийи,ссучи,сыйи
сонгдао,сунгтао,сонqдаw
сонггеи,сунгкеи,сонqгееи
суан,суан,суанн
суиран,суиян,суеиран
суибиан,суипиен,сwеибианн
суиши,суиших,сwеишыр
суоыи,сои,суооыии
суоыоу,соыу,суооыеоу
та,та,та
тамен,тамен,тамен
таитаи,таитаи,таытаи
таиду,таиду,таыду
таолун,таолун,таолуенн
тао,тао,таw
тебие,тепиех,техбые
тедиан,тетиен,техдеан
тенг,тенг,тернг
ти,ти,тыи
тичу,тичу,тыичу
тидао,титао,тыидаw
тигао,тикао,тыигау
ти,ти,тыи
тиыу,тиыу,тииыух
тиыучанг,тиыучанг,тииыухчаанг
тиыугуан,тиыукуан,тииыухгоан
тианшанг,тиеншанг,тианшанq
тиао,тиао,тыау
тиаойиан,тиаочиен,тыауйианн
тингйианг,тингчианг,тингйеанг
тингшуо,тингшуо,тингшуо
тинг,тинг,тынг
тингче,тингче,тынгче
тингчечанг,тингчечанг,тынгчечаанг
тинг,тинг,тиинг
тингхао,тингхао,тиингхао
тонг,тунг,тонг
тонггуо,тунгкуо,тонггуох
тонгжи,тунгчих,тонгйы
тонгши,тунгших,торнгшыр
тонгши,тунгших,торнгшых
тонгыанг,тунгыанг,торнгыанq
тоу,тоу,тоур
тоу,тоу,тоур
тоуфа,тоуфа,тоурфа
тупиан,тупиен,тwупианн
туи,туи,туеи
туи,туи,тоеи
wаиди,wаити,wаыдих
wаимаи,wаимаи,wаымаы
